,coverage,month,station_code,station_type,year
0,covered,1,5284,precipitation,2002
1,covered,2,5284,precipitation,2002
2,covered,3,5284,precipitation,2002
3,covered,4,5284,precipitation,2002
4,covered,5,5284,precipitation,2002
5,covered,6,5284,precipitation,2002
6,covered,7,5284,precipitation,2002
7,covered,8,5284,precipitation,2002
8,covered,9,5284,precipitation,2002
9,covered,10,5284,precipitation,2002
10,covered,11,5284,precipitation,2002
11,covered,12,5284,precipitation,2002
12,covered,1,5284,precipitation,2003
13,covered,2,5284,precipitation,2003
14,covered,3,5284,precipitation,2003
15,covered,4,5284,precipitation,2003
16,covered,5,5284,precipitation,2003
17,covered,6,5284,precipitation,2003
18,covered,7,5284,precipitation,2003
19,covered,8,5284,precipitation,2003
20,covered,9,5284,precipitation,2003
21,covered,10,5284,precipitation,2003
22,covered,11,5284,precipitation,2003
23,covered,12,5284,precipitation,2003
24,covered,1,5284,precipitation,2004
25,covered,2,5284,precipitation,2004
26,covered,3,5284,precipitation,2004
27,covered,4,5284,precipitation,2004
28,covered,5,5284,precipitation,2004
29,covered,6,5284,precipitation,2004
30,covered,7,5284,precipitation,2004
31,covered,8,5284,precipitation,2004
32,covered,9,5284,precipitation,2004
33,covered,10,5284,precipitation,2004
34,covered,11,5284,precipitation,2004
35,covered,12,5284,precipitation,2004
36,covered,1,5284,precipitation,2005
37,covered,2,5284,precipitation,2005
38,covered,3,5284,precipitation,2005
39,covered,4,5284,precipitation,2005
40,covered,5,5284,precipitation,2005
41,covered,6,5284,precipitation,2005
42,covered,7,5284,precipitation,2005
43,covered,8,5284,precipitation,2005
44,covered,9,5284,precipitation,2005
45,covered,10,5284,precipitation,2005
46,covered,11,5284,precipitation,2005
47,covered,12,5284,precipitation,2005
48,covered,1,5284,precipitation,2006
49,covered,2,5284,precipitation,2006
50,covered,3,5284,precipitation,2006
51,covered,4,5284,precipitation,2006
52,covered,5,5284,precipitation,2006
53,covered,6,5284,precipitation,2006
54,covered,7,5284,precipitation,2006
55,covered,8,5284,precipitation,2006
56,covered,9,5284,precipitation,2006
57,covered,10,5284,precipitation,2006
58,covered,11,5284,precipitation,2006
59,covered,12,5284,precipitation,2006
60,covered,1,5284,precipitation,2007
61,covered,2,5284,precipitation,2007
62,covered,3,5284,precipitation,2007
63,covered,4,5284,precipitation,2007
64,covered,5,5284,precipitation,2007
65,covered,6,5284,precipitation,2007
66,covered,7,5284,precipitation,2007
67,covered,8,5284,precipitation,2007
68,covered,9,5284,precipitation,2007
69,covered,10,5284,precipitation,2007
70,covered,11,5284,precipitation,2007
71,covered,12,5284,precipitation,2007
72,covered,1,5284,precipitation,2008
73,covered,2,5284,precipitation,2008
74,covered,3,5284,precipitation,2008
75,covered,4,5284,precipitation,2008
76,covered,5,5284,precipitation,2008
77,covered,6,5284,precipitation,2008
78,covered,7,5284,precipitation,2008
79,covered,8,5284,precipitation,2008
80,covered,9,5284,precipitation,2008
81,covered,10,5284,precipitation,2008
82,covered,11,5284,precipitation,2008
83,covered,12,5284,precipitation,2008
84,covered,1,5284,precipitation,2009
85,covered,2,5284,precipitation,2009
86,covered,3,5284,precipitation,2009
87,covered,4,5284,precipitation,2009
88,covered,5,5284,precipitation,2009
89,covered,6,5284,precipitation,2009
90,covered,7,5284,precipitation,2009
91,covered,8,5284,precipitation,2009
92,covered,9,5284,precipitation,2009
93,covered,10,5284,precipitation,2009
94,covered,11,5284,precipitation,2009
95,covered,12,5284,precipitation,2009
96,covered,1,5284,precipitation,2010
97,covered,2,5284,precipitation,2010
98,covered,3,5284,precipitation,2010
99,covered,4,5284,precipitation,2010
100,covered,5,5284,precipitation,2010
101,covered,6,5284,precipitation,2010
102,covered,7,5284,precipitation,2010
103,covered,8,5284,precipitation,2010
104,covered,9,5284,precipitation,2010
105,covered,10,5284,precipitation,2010
106,covered,11,5284,precipitation,2010
107,covered,12,5284,precipitation,2010
108,covered,1,5284,precipitation,2011
109,covered,2,5284,precipitation,2011
110,covered,3,5284,precipitation,2011
111,covered,4,5284,precipitation,2011
112,covered,5,5284,precipitation,2011
113,covered,6,5284,precipitation,2011
114,covered,7,5284,precipitation,2011
115,covered,8,5284,precipitation,2011
116,covered,9,5284,precipitation,2011
117,covered,10,5284,precipitation,2011
118,covered,11,5284,precipitation,2011
119,covered,12,5284,precipitation,2011
120,covered,1,5284,precipitation,2012
121,covered,2,5284,precipitation,2012
122,covered,3,5284,precipitation,2012
123,covered,4,5284,precipitation,2012
124,covered,5,5284,precipitation,2012
125,covered,6,5284,precipitation,2012
126,covered,7,5284,precipitation,2012
127,covered,8,5284,precipitation,2012
128,covered,9,5284,precipitation,2012
129,covered,10,5284,precipitation,2012
130,covered,11,5284,precipitation,2012
131,covered,12,5284,precipitation,2012
132,covered,1,5284,precipitation,2013
133,covered,2,5284,precipitation,2013
134,covered,3,5284,precipitation,2013
135,covered,4,5284,precipitation,2013
136,covered,5,5284,precipitation,2013
137,covered,6,5284,precipitation,2013
138,covered,7,5284,precipitation,2013
139,covered,8,5284,precipitation,2013
140,covered,9,5284,precipitation,2013
141,covered,10,5284,precipitation,2013
142,covered,11,5284,precipitation,2013
143,covered,12,5284,precipitation,2013
144,covered,1,5284,precipitation,2014
145,covered,2,5284,precipitation,2014
146,covered,3,5284,precipitation,2014
147,covered,4,5284,precipitation,2014
148,covered,5,5284,precipitation,2014
149,covered,6,5284,precipitation,2014
150,covered,7,5284,precipitation,2014
151,covered,8,5284,precipitation,2014
152,covered,9,5284,precipitation,2014
153,covered,10,5284,precipitation,2014
154,covered,11,5284,precipitation,2014
155,covered,12,5284,precipitation,2014
156,covered,1,5284,precipitation,2015
157,covered,2,5284,precipitation,2015
158,covered,3,5284,precipitation,2015
159,covered,4,5284,precipitation,2015
160,covered,5,5284,precipitation,2015
161,covered,6,5284,precipitation,2015
162,covered,7,5284,precipitation,2015
163,covered,8,5284,precipitation,2015
164,covered,9,5284,precipitation,2015
165,covered,10,5284,precipitation,2015
166,covered,11,5284,precipitation,2015
167,covered,12,5284,precipitation,2015
168,covered,1,5284,precipitation,2016
169,covered,2,5284,precipitation,2016
170,covered,3,5284,precipitation,2016
171,covered,4,5284,precipitation,2016
172,covered,5,5284,precipitation,2016
173,covered,6,5284,precipitation,2016
174,covered,7,5284,precipitation,2016
175,covered,8,5284,precipitation,2016
176,covered,9,5284,precipitation,2016
177,covered,10,5284,precipitation,2016
178,covered,11,5284,precipitation,2016
179,covered,12,5284,precipitation,2016
180,covered,1,5284,precipitation,2017
181,covered,2,5284,precipitation,2017
182,covered,3,5284,precipitation,2017
183,covered,4,5284,precipitation,2017
184,covered,5,5284,precipitation,2017
185,covered,6,5284,precipitation,2017
186,covered,7,5284,precipitation,2017
187,covered,8,5284,precipitation,2017
188,covered,9,5284,precipitation,2017
189,covered,10,5284,precipitation,2017
190,covered,11,5284,precipitation,2017
191,covered,12,5284,precipitation,2017
192,covered,1,5284,precipitation,2018
193,covered,2,5284,precipitation,2018
194,covered,3,5284,precipitation,2018
195,covered,4,5284,precipitation,2018
196,covered,5,5284,precipitation,2018
197,covered,6,5284,precipitation,2018
198,covered,7,5284,precipitation,2018
199,covered,8,5284,precipitation,2018
200,covered,9,5284,precipitation,2018
201,covered,10,5284,precipitation,2018
202,covered,11,5284,precipitation,2018
203,covered,12,5284,precipitation,2018
204,covered,1,5284,precipitation,2019
205,covered,2,5284,precipitation,2019
206,covered,3,5284,precipitation,2019
207,covered,4,5284,precipitation,2019
208,covered,5,5284,precipitation,2019
209,covered,6,5284,precipitation,2019
210,covered,1,5578,precipitation,2002
211,covered,2,5578,precipitation,2002
212,covered,3,5578,precipitation,2002
213,covered,4,5578,precipitation,2002
214,covered,5,5578,precipitation,2002
215,covered,6,5578,precipitation,2002
216,covered,7,5578,precipitation,2002
217,covered,8,5578,precipitation,2002
218,covered,9,5578,precipitation,2002
219,covered,10,5578,precipitation,2002
220,covered,11,5578,precipitation,2002
221,covered,12,5578,precipitation,2002
222,covered,1,5578,precipitation,2003
223,covered,2,5578,precipitation,2003
224,covered,3,5578,precipitation,2003
225,covered,4,5578,precipitation,2003
226,covered,5,5578,precipitation,2003
227,covered,6,5578,precipitation,2003
228,covered,7,5578,precipitation,2003
229,covered,8,5578,precipitation,2003
230,covered,9,5578,precipitation,2003
231,covered,10,5578,precipitation,2003
232,covered,11,5578,precipitation,2003
233,covered,12,5578,precipitation,2003
234,covered,1,5578,precipitation,2004
235,covered,2,5578,precipitation,2004
236,covered,3,5578,precipitation,2004
237,covered,4,5578,precipitation,2004
238,covered,5,5578,precipitation,2004
239,covered,6,5578,precipitation,2004
240,covered,7,5578,precipitation,2004
241,covered,8,5578,precipitation,2004
242,covered,9,5578,precipitation,2004
243,covered,10,5578,precipitation,2004
244,covered,11,5578,precipitation,2004
245,covered,12,5578,precipitation,2004
246,covered,1,5578,precipitation,2005
247,covered,2,5578,precipitation,2005
248,covered,3,5578,precipitation,2005
249,covered,4,5578,precipitation,2005
250,covered,5,5578,precipitation,2005
251,covered,6,5578,precipitation,2005
252,covered,7,5578,precipitation,2005
253,covered,8,5578,precipitation,2005
254,covered,9,5578,precipitation,2005
255,covered,10,5578,precipitation,2005
256,covered,11,5578,precipitation,2005
257,covered,12,5578,precipitation,2005
258,covered,1,5578,precipitation,2006
259,covered,2,5578,precipitation,2006
260,covered,3,5578,precipitation,2006
261,covered,4,5578,precipitation,2006
262,covered,5,5578,precipitation,2006
263,covered,6,5578,precipitation,2006
264,covered,7,5578,precipitation,2006
265,covered,8,5578,precipitation,2006
266,covered,9,5578,precipitation,2006
267,covered,10,5578,precipitation,2006
268,covered,11,5578,precipitation,2006
269,covered,12,5578,precipitation,2006
270,covered,1,5578,precipitation,2007
271,covered,2,5578,precipitation,2007
272,covered,3,5578,precipitation,2007
273,covered,4,5578,precipitation,2007
274,covered,5,5578,precipitation,2007
275,covered,6,5578,precipitation,2007
276,covered,7,5578,precipitation,2007
277,covered,8,5578,precipitation,2007
278,covered,9,5578,precipitation,2007
279,covered,10,5578,precipitation,2007
280,covered,11,5578,precipitation,2007
281,covered,12,5578,precipitation,2007
282,covered,1,5578,precipitation,2008
283,covered,2,5578,precipitation,2008
284,covered,3,5578,precipitation,2008
285,covered,4,5578,precipitation,2008
286,covered,5,5578,precipitation,2008
287,covered,6,5578,precipitation,2008
288,covered,7,5578,precipitation,2008
289,covered,8,5578,precipitation,2008
290,covered,9,5578,precipitation,2008
291,covered,10,5578,precipitation,2008
292,covered,11,5578,precipitation,2008
293,covered,12,5578,precipitation,2008
294,covered,1,5578,precipitation,2009
295,covered,2,5578,precipitation,2009
296,covered,3,5578,precipitation,2009
297,covered,4,5578,precipitation,2009
298,covered,5,5578,precipitation,2009
299,covered,6,5578,precipitation,2009
300,covered,7,5578,precipitation,2009
301,covered,8,5578,precipitation,2009
302,covered,9,5578,precipitation,2009
303,covered,10,5578,precipitation,2009
304,covered,11,5578,precipitation,2009
305,covered,12,5578,precipitation,2009
306,covered,1,5578,precipitation,2010
307,covered,2,5578,precipitation,2010
308,covered,3,5578,precipitation,2010
309,covered,4,5578,precipitation,2010
310,covered,5,5578,precipitation,2010
311,covered,6,5578,precipitation,2010
312,covered,7,5578,precipitation,2010
313,covered,8,5578,precipitation,2010
314,covered,9,5578,precipitation,2010
315,covered,10,5578,precipitation,2010
316,covered,11,5578,precipitation,2010
317,covered,12,5578,precipitation,2010
318,covered,1,5578,precipitation,2011
319,covered,2,5578,precipitation,2011
320,covered,3,5578,precipitation,2011
321,covered,4,5578,precipitation,2011
322,covered,5,5578,precipitation,2011
323,covered,6,5578,precipitation,2011
324,covered,7,5578,precipitation,2011
325,covered,8,5578,precipitation,2011
326,covered,9,5578,precipitation,2011
327,covered,10,5578,precipitation,2011
328,covered,11,5578,precipitation,2011
329,covered,12,5578,precipitation,2011
330,covered,1,5578,precipitation,2012
331,covered,2,5578,precipitation,2012
332,covered,3,5578,precipitation,2012
333,covered,4,5578,precipitation,2012
334,covered,5,5578,precipitation,2012
335,covered,6,5578,precipitation,2012
336,covered,7,5578,precipitation,2012
337,covered,8,5578,precipitation,2012
338,covered,9,5578,precipitation,2012
339,covered,10,5578,precipitation,2012
340,covered,11,5578,precipitation,2012
341,covered,12,5578,precipitation,2012
342,covered,1,5578,precipitation,2013
343,covered,2,5578,precipitation,2013
344,covered,3,5578,precipitation,2013
345,covered,4,5578,precipitation,2013
346,covered,5,5578,precipitation,2013
347,covered,6,5578,precipitation,2013
348,covered,7,5578,precipitation,2013
349,covered,8,5578,precipitation,2013
350,covered,9,5578,precipitation,2013
351,covered,10,5578,precipitation,2013
352,covered,11,5578,precipitation,2013
353,covered,12,5578,precipitation,2013
354,covered,1,5578,precipitation,2014
355,covered,2,5578,precipitation,2014
356,covered,3,5578,precipitation,2014
357,covered,4,5578,precipitation,2014
358,covered,5,5578,precipitation,2014
359,covered,6,5578,precipitation,2014
360,covered,7,5578,precipitation,2014
361,covered,8,5578,precipitation,2014
362,covered,9,5578,precipitation,2014
363,covered,10,5578,precipitation,2014
364,covered,11,5578,precipitation,2014
365,covered,12,5578,precipitation,2014
366,covered,1,5578,precipitation,2015
367,covered,2,5578,precipitation,2015
368,covered,3,5578,precipitation,2015
369,covered,4,5578,precipitation,2015
370,covered,5,5578,precipitation,2015
371,covered,6,5578,precipitation,2015
372,covered,7,5578,precipitation,2015
373,covered,8,5578,precipitation,2015
374,covered,9,5578,precipitation,2015
375,covered,10,5578,precipitation,2015
376,covered,11,5578,precipitation,2015
377,covered,12,5578,precipitation,2015
378,covered,1,5578,precipitation,2016
379,covered,2,5578,precipitation,2016
380,covered,3,5578,precipitation,2016
381,covered,4,5578,precipitation,2016
382,covered,5,5578,precipitation,2016
383,covered,6,5578,precipitation,2016
384,covered,7,5578,precipitation,2016
385,covered,8,5578,precipitation,2016
386,covered,9,5578,precipitation,2016
387,covered,10,5578,precipitation,2016
388,covered,11,5578,precipitation,2016
389,covered,12,5578,precipitation,2016
390,covered,1,5578,precipitation,2017
391,covered,2,5578,precipitation,2017
